id_codedep_codecom;Commune;Code departement
01103;CHEVRY;01
06004;ANTIBES;06
06088;NICE;06
06123;SAINT LAURENT DU VAR;06
13005;AUBAGNE;13
13028;LA CIOTAT;13
13208;MARSEILLE 8EME;13
13212;MARSEILLE 12EME;13
14338;HOULGATE;14
14366;LISIEUX;14
17300;LA ROCHELLE;17
25056;BESANCON;25
29232;QUIMPER;29
29260;SAINT RENAN;29
31555;TOULOUSE;31
33063;BORDEAUX;33
33097;CARCANS;33
33449;SAINT MEDARD EN JALLES;33
34145;LUNEL;34
34150;MARSEILLAN;34
34199;PEZENAS;34
37156;MONTLOUIS-SUR-LOIRE;37
37261;TOURS;37
38185;GRENOBLE;38
40266;ST-JULIEN-EN-BORN;40
40328;VIEUX BOUCAU-LES-BAINS;40
44143;REZE;44
44184;SAINT-NAZAIRE;44
51230;EPERNAY;51
54395;NANCY;54
56161;PLOEMEL;56
58194;NEVERS;58
59512;ROUBAIX;59
60057;BEAUVAIS;60
60155;CIRES LES MELLO;60
60159;COMPIEGNE;60
60524;RANTIGNY;60
69149;OULLINS;69
69384;LYON 4EME;69
74119;EVIAN-LES-BAINS;74
74236;SAINT GERVAIS LES BAINS;74
74238;SAINT-JEAN-D'AULPS;74
74278;THYEZ;74
75105;PARIS 05;75
75110;PARIS 10;75
75111;PARIS 11;75
75112;PARIS 12;75
75115;PARIS 15;75
75118;PARIS 18;75
76217;DIEPPE;76
76451;MONT-SAINT-AIGNAN;76
76655;SAINT-VALERY-EN-CAUX;76
77118;CLAYE-SOUILLY;77
78350;LOUVECIENNES;78
78423;MONTIGNY LE BRETONNEUX;78
78545;SAINT-CYR-L ECOLE;78
78551;SAINT-GERMAIN-EN-LAYE;78
78586;SARTROUVILLE;78
78640;VELIZY VILLACOUBLAY;78
83062;LA GARDE;83
83069;HYERES;83
83112;SAINT-CYR-SUR-MER;83
83123;SANARY SUR MER;83
84007;AVIGNON;84
85047;CHALLANS;85
86062;CHASSENEUIL-DU-POITOU;86
86194;POITIERS;86
87075;ISLE;87
87085;LIMOGES;87
91249;FORGES-LES-BAINS;91
91689;WISSOUS;91
92025;COLOMBES;92
92026;COURBEVOIE;92
92036;GENNEVILLIERS;92
92044;LEVALLOIS-PERRET;92
93032;GAGNY;93
93051;NOISY-LE-GRAND;93
93057;LES PAVILLONS-SOUS-BOIS;93
93071;SEVRAN;93
94044;LIMEIL-BREVANNES;94
94060;LA QUEUE-EN-BRIE;94
94080;VINCENNES;94
95252;FRANCONVILLE LA GARENNE;95
95388;MENUCOURT;95
95607;TAVERNY;95
01262;MONTLUEL;01
02408;LAON;02
03190;MOULINS;03
04073;ENCHASTRAYES;04
04166;RIEZ;04
04209;SISTERON;04
06027;CAGNES SUR MER;06
06159;VILLEFRANCHE-SUR-MER;06
10323;ROMILLY SUR SEINE;10
13119;CARNOUX-EN-PROVENCE;13
13201;MARSEILLE 1ER;13
13204;MARSEILLE 4EME;13
13206;MARSEILLE 6EME;13
13209;MARSEILLE 9EME;13
14118;CAEN;14
14333;HONFLEUR;14
14715;TROUVILLE-SUR-MER;14
14754;VILLERS-SUR-MER;14
17414;SAINT-XANDRE;17
22113;LANNION;22
22168;PERROS-GUIREC;22
22278;SAINT-BRIEUC;22
24322;PERIGUEUX;24
25527;SAINT VIT;25
28085;CHARTRES;28
30003;AIGUES-MORTES;30
30007;ALES;30
30133;LE GRAU DU ROI;30
30189;NIMES;30
32013;AUCH;32
33005;ANDERNOS-LES-BAINS;33
33075;BRUGES;33
33550;VILLENAVE D ORNON;33
34023;BALARUC LES BAINS;34
38169;FONTAINE;38
38253;LES DEUX ALPES;38
40046;BISCARROSSE;40
40088;DAX;40
40304;SOORTS-HOSSEGOR;40
42256;SAINT-MARCELLIN-EN-FOREZ;42
44109;NANTES;44
44190;ST SEBASTIEN SUR LOIRE;44
44204;THOUARE-SUR-LOIRE;44
45234;ORLEANS;45
45286;SAINT-JEAN-LE-BLANC;45
50002;AGNEAUX;50
51454;REIMS;51
56062;GAVRES;56
59368;LA MADELEINE;59
59378;MARCQ EN BAROEUL;59
59491;RAISMES;59
60382;MARGNY LES COMPIEGNE;60
60395;MERU;60
62041;ARRAS;62
63300;RIOM;63
69003;ALBIGNY-SUR-SAONE;69
69204;SAINT-GENIS-LAVAL;69
69264;VILLEFRANCHE;69
69389;LYON 9EME;69
70550;VESOUL;70
74014;ARACHES LA FRASSE;74
74249;SAINT-PAUL-EN-CHABLAIS;74
75102;PARIS 02;75
75103;PARIS 03;75
75104;PARIS 04;75
75106;PARIS 06;75
75107;PARIS 07;75
75114;PARIS 14;75
75117;PARIS 17;75
75120;PARIS 20;75
76351;LE HAVRE;76
76447;MONTIVILLIERS;76
77005;ANNET-SUR-MARNE;77
77014;AVON;77
77058;BUSSY-SAINT-GEORGES;77
77059;BUSSY-SAINT-MARTIN;77
77192;FONTENAY-TRESIGNY;77
77259;LONGPERRIER;77
77288;MELUN;77
77379;PROVINS;77
78005;ACHERES;78
78372;MARLY-LE-ROI;78
78383;MAUREPAS;78
78550;SAINT-GERMAIN-DE-LA-GRANGE;78
78621;TRAPPES;78
78646;VERSAILLES;78
82096;LA VILLE DIEU DU TEMPLE;82
83009;BANDOL;83
83034;CARQUEIRANNE;83
83070;LE LAVANDOU;83
85035;BRETIGNOLLES-SUR-MER;85
85127;LONGEVILLE-SUR-MER;85
85194;SABLES-D'OLONNE (LES);85
85262;SAINT-PHILBERT-DE-BOUAINE;85
88372;RAON L ETAPE;88
90010;BELFORT;90
91114;BRUNOY;91
91225;ETIOLLES;91
91326;JUVISY SUR ORGE;91
91377;MASSY;91
91425;MONTLHERY;91
91570;SAINT-MICHEL-SUR-ORGE;91
91589;SAVIGNY-SUR-ORGE;91
92004;ASNIERES-SUR-SEINE;92
92009;BOIS-COLOMBES;92
92012;BOULOGNE-BILLANCOURT;92
92014;BOURG-LA-REINE;92
92022;CHAVILLE;92
92023;CLAMART;92
92048;MEUDON;92
92050;NANTERRE;92
92063;RUEIL-MALMAISON;92
92075;VANVES;92
93001;AUBERVILLIERS;93
93006;BAGNOLET;93
93010;BONDY;93
93048;MONTREUIL;93
94016;CACHAN;94
94022;CHOISY-LE-ROI;94
94033;FONTENAY-SOUS-BOIS;94
94041;IVRY-SUR-SEINE;94
94042;JOINVILLE-LE-PONT;94
94052;NOGENT-SUR-MARNE;94
94068;SAINT-MAUR-DES-FOSSES;94
94071;SUCY-EN-BRIE;94
94076;VILLEJUIF;94
94079;VILLIERS-SUR-MARNE;94
95203;EAUBONNE;95
95218;ERAGNY-SUR-OISE;95
95500;PONTOISE;95
95572;ST OUEN L AUMONE;95
14079;BLONVILLE-SUR-MER;14
74256;SALLANCHES;74
80021;AMIENS;80
82112;MOISSAC;82
91223;ETAMPES;91
01160;FERNEY-VOLTAIRE;01
01288;PERON;01
04070;DIGNE-LES-BAINS;04
06029;CANNES;06
06032;CAP-D AIL;06
06079;MANDELIEU-LA-NAPOULE;06
06083;MENTON;06
10325;ROSIERES PRES TROYES;10
10343;SAINT JULIEN LES VILLAS;10
10362;SAINTE SAVINE;10
11170;GRUISSAN;11
13022;CASSIS;13
13101;SAINT SAVOURNIN;13
13205;MARSEILLE 5EME;13
13207;MARSEILLE 7EME;13
13210;MARSEILLE 10EME;13
14220;DEAUVILLE;14
18033;BOURGES;18
19031;BRIVE LA GAILLARDE;19
2A362;ZONZA;2A
30106;DURFORT-ET-SAINT-MARTIN-DE-;30
31203;FROUZINS;31
33039;BEGLES;33
33514;SOULAC-SUR-MER;33
33522;TALENCE;33
33533;TOULENNE;33
34003;AGDE;34
34079;CLERMONT L HERAULT;34
34157;MEZE;34
34301;SETE;34
35210;PACE;35
35238;RENNES;35
38191;HUEZ;38
38421;SAINT-MARTIN-D'HERES;38
39526;TAVAUX;39
40281;SAINT-PIERRE-DU-MONT;40
40284;ST-VINCENT-DE-TYROSSE;40
40312;TARNOS;40
40317;TOSSE;40
42005;ANDREZIEUX-BOUTHEON;42
42187;ROANNE;42
42332;VILLEREST;42
43157;LE PUY EN VELAY;43
44035;CHAPELLE-SUR-ERDRE (LA);44
44132;PORNICHET;44
44198;SORINIERES (LES);44
45075;LA CHAPELLE ST MESMIN;45
45232;OLIVET;45
45284;ST JEAN DE BRAYE;45
49007;ANGERS;49
49099;CHOLET;49
50147;COUTANCES;50
51108;CHALONS EN CHAMPAGNE;51
54263;HOMECOURT;54
56023;BRECH;56
60342;LAIGNEVILLE;60
60513;PRECY SUR OISE;60
62893;WIMEREUX;62
64102;BAYONNE;64
69089;FRANCHEVILLE;69
69176;SOUCIEU EN JARREST;69
69381;LYON 1ER;69
69383;LYON 3EME;69
72181;LE MANS;72
73257;LES BELLEVILLE;73
74311;VIUZ-EN-SALLAZ;74
75113;PARIS 13;75
75116;PARIS 16;75
77061;CANNES-ECLUSE;77
77079;CHAMPAGNE SUR SEINE;77
77284;MEAUX;77
77285;LE MEE SUR SEINE;77
77307;MONTEVRAIN;77
77419;SAINT-MAMMES;77
77450;SERVON;77
77487;VAUX-LE-PENIL;77
78146;CHATOU;78
78165;CLAYES-SOUS-BOIS (LES);78
78358;MAISONS-LAFFITTE;78
78382;MAURECOURT;78
78481;PECQ (LE);78
80228;LE CROTOY;80
82121;MONTAUBAN;82
83137;TOULON;83
84031;CARPENTRAS;84
85164;NOTRE-DAME-DE-MONTS;85
87161;ST-LEONARD-DE-NOBLAT;87
88160;EPINAL;88
88181;FRAIZE;88
91086;BONDOUFLE;91
91156;CHEPTAINVILLE;91
91174;CORBEIL ESSONNES;91
92002;ANTONY;92
92024;CLICHY;92
92032;FONTENAY-AUX-ROSES;92
92040;ISSY-LES-MOULINEAUX;92
92051;NEUILLY-SUR-SEINE;92
92060;LE PLESSIS-ROBINSON;92
92062;PUTEAUX;92
92072;SEVRES;92
92073;SURESNES;92
93045;LES LILAS;93
93072;STAINS;93
93073;TREMBLAY-EN-FRANCE;93
94002;ALFORTVILLE;94
94004;BOISSY-SAINT-LEGER;94
94018;CHARENTON-LE-PONT;94
94028;CRETEIL;94
94037;GENTILLY;94
94043;LE KREMLIN-BICETRE;94
94074;VALENTON;94
94078;VILLENEUVE-SAINT-GEORGES;94
95039;AUVERS-SUR-OISE;95
95199;DOMONT;95
95219;ERMONT;95
95306;HERBLAY-SUR-SEINE;95
95527;ROISSY-EN-FRANCE;95
01033;VALSERHONE;01
01258;MONTCEAUX;01
01354;ST-GENIS-POUILLY;01
06012;BEAUSOLEIL;06
06033;CARROS;06
06092;PEILLON;06
07019;AUBENAS;07
07042;BOURG-SAINT-ANDEOL;07
07304;SALAVAS;07
11262;NARBONNE;11
11266;PORT-LA-NOUVELLE;11
13202;MARSEILLE 2EME;13
13213;MARSEILLE 13EME;13
25265;GENEUILLE;25
26058;BOURG LES VALENCE;26
26281;ROMANS-SUR-ISERE;26
27299;GRAVIGNY;27
28134;DREUX;28
31066;BESSIERES;31
31113;CASTANET TOLOSAN;31
33051;BIGANOS;33
33081;CADILLAC;33
33249;LORMONT;33
33281;MERIGNAC;33
34108;FRONTIGNAN;34
38186;GRESSE-EN-VERCORS;38
38229;MEYLAN;38
38249;MONTBONNOT-SAINT-MARTIN;38
39470;LES ROUSSES;39
40133;LABENNE;40
42218;SAINT-ETIENNE;42
44162;ST-HERBLAIN;44
45258;PUISEAUX;45
49347;TIERCE;49
53062;CHATEAU-GONTIER-SUR-MAYENNE;53
53073;CONGRIER;53
59220;FACHES THUMESNIL;59
59350;LILLE;59
59410;MONS EN BAROEUL;59
62604;NEUFCHATEL-HARDELOT;62
66004;LES ANGLES;66
69078;DUERNE;69
69081;ECULLY;69
69143;NEUVILLE SUR SAONE;69
69382;LYON 2EME;69
69385;LYON 5EME;69
73235;SAINT FRANCOIS LONGCHAMP;73
73306;VALLOIRE;73
74019;ARGONAY;74
74056;CHAMONIX MONT BLANC;74
75109;PARIS 09;75
77053;BRIE COMTE ROBERT;77
78190;CROISSY SUR SEINE;78
78362;MANTES-LA-VILLE;78
78401;MEULAN-EN-YVELINES;78
83019;BORMES-LES-MIMOSAS;83
83130;SOLLIES-PONT;83
88225;HADOL;88
91201;DRAVEIL;91
93007;LE BLANC-MESNIL;93
93063;ROMAINVILLE;93
94069;ST MAURICE;94
95277;GONESSE;95
95428;MONTMORENCY;95
01143;DIVONNE-LES-BAINS;01
06030;LE CANNET;06
06044;LA COLLE SUR LOUP;06
06094;PEONE;06
06155;VALLAURIS;06
06161;VILLENEUVE-LOUBET;06
10387;TROYES;10
11144;FITOU;11
11202;LEUCATE;11
11379;SIGEAN;11
13215;MARSEILLE 15EME;13
18279;VIERZON;18
29019;BREST;29
2A041;BONIFACIO;2A
2A070;CASAGLIONE;2A
30034;BELLEGARDE;30
33009;ARCACHON;33
33080;CADAUJAC;33
33096;CARBON BLANC;33
33167;FLOIRAC;33
33312;PAREMPUYRE;33
34333;VIC-LA-GARDIOLE;34
35032;BOURGBARRE;35
37122;JOUE LES TOURS;37
40192;MONT-DE-MARSAN;40
40326;VIELLE-ST-GIRONS;40
44069;GUERANDE;44
44074;INDRE;44
44201;SUCE-SUR-ERDRE;44
45285;ST JEAN DE LA RUELLE;45
49015;AVRILLE;49
51573;TINQUEUX;51
54329;LUNEVILLE;54
56083;HENNEBONT;56
56107;LARMOR-PLAGE;56
56121;LORIENT;56
59009;VILLENEUVE-D'ASCQ;59
59271;GRANDE-SYNTHE;59
59367;LYS LEZ LANNOY;59
60157;CLERMONT;60
60509;PONT STE MAXENCE;60
60684;VILLERS ST PAUL;60
64260;HENDAYE;64
69096;GRIGNY;69
69243;TARARE;69
69278;GENAY;69
74083;COMBLOUX;74
74264;SCIONZIER;74
75119;PARIS 19;75
77169;EMERAINVILLE;77
77326;NANDY;77
77373;PONTAULT COMBAULT;77
77438;SAINT THIBAULT DES VIGNES;77
77445;SAVIGNY-LE-TEMPLE;77
77468;TORCY;77
77470;TOURNAN-EN-BRIE;77
77514;VILLEPARISIS;77
78015;ANDRESY;78
78092;BOUGIVAL;78
78172;CONFLANS SAINTE HONORINE;78
78217;EPONE;78
78466;ORGEVAL;78
78490;PLAISIR;78
78686;VIROFLAY;78
81004;ALBI;81
85288;TALMONT-SAINT-HILAIRE;85
87187;ST YRIEIX LA PERCHE;87
91027;ATHIS MONS;91
91085;BOISSY-SOUS-SAINT-YON;91
91228;EVRY-COURCOURONNES;91
91272;GIF SUR YVETTE;91
91363;MARCOUSSIS;91
91549;SAINTE-GENEVIEVE-DES-BOIS;91
91631;VARENNES-JARCY;91
91691;YERRES;91
92019;CHATENAY-MALABRY;92
92020;CHATILLON;92
92035;LA GARENNE-COLOMBES;92
92049;MONTROUGE;92
93008;BOBIGNY;93
93031;EPINAY SUR SEINE;93
93049;NEUILLY-PLAISANCE;93
93066;SAINT-DENIS;93
93074;VAUJOURS;93
94015;BRY-SUR-MARNE;94
94046;MAISONS-ALFORT;94
95060;BESSANCOURT;95
95127;CERGY;95
95205;ECOUEN;95
95491;PLESSIS-BOUCHARD (LE);95
972226;SAINTE ANNE;972
01173;GEX;01
06114;SAINT-ANDRE DE LA ROCHE;06
13086;ROQUEVAIRE;13
14225;DIVES-SUR-MER;14
24037;BERGERAC;24
2A004;AJACCIO;2A
2A139;LECCI;2A
30334;UZES;30
33199;GUJAN MESTRAS;33
33236;LEGE-CAP-FERRET;33
35093;DINARD;35
35226;PLEUGUENEUC;35
37195;LA RICHE;37
38384;SAINT-ETIENNE-DE-SAINT-GEOIRS;38
38485;SEYSSINET-PARISET;38
40296;SEIGNOSSE;40
41018;BLOIS;41
42299;SAVIGNEUX;42
44047;COUERON;44
50197;GAVRAY-SUR-SIENNE;50
56007;AURAY;56
59139;CAUDRY;59
59178;DOUAI;59
59250;FOURNES-EN-WEPPES;59
60175;CREIL;60
60414;MONTATAIRE;60
60612;SENLIS;60
66003;AMELIE LES BAINS;66
69088;FONTAINES SUR SAONE;69
69163;QUINCIEUX;69
73008;AIX LES BAINS;73
73109;EPIERRE;73
73150;LA PLAGNE TARENTAISE;73
74189;MONT-SAXONNEX;74
75101;PARIS 01;75
76341;HARFLEUR;76
77096;CHARTRETTES;77
77108;CHELLES;77
77152;DAMMARIE LES LYS;77
77186;FONTAINEBLEAU;77
77251;LIEUSAINT;77
77385;REBAIS;77
77449;SERRIS;77
78124;CARRIERES SUR SEINE;78
78158;LE CHESNAY-ROCQUENCOURT;78
78297;GUYANCOURT;78
78311;HOUILLES;78
78380;MAULE;78
78396;MESNIL-LE-ROI (LE);78
78650;VESINET (LE);78
83016;LE BEAUSSET;83
83027;LA CADIERE D AZUR;83
83126;LA SEYNE SUR MER;83
83144;LA VALETTE DU VAR;83
83153;SAINT-MANDRIER-SUR-MER;83
84147;VILLELAURE;84
91421;MONTGERON;91
91477;PALAISEAU;91
91600;SOISY-SUR-SEINE;91
91657;VIGNEUX SUR SEINE;91
91685;VILLIERS-SUR-ORGE;91
92064;SAINT-CLOUD;92
93013;LE BOURGET;93
93046;LIVRY-GARGAN;93
93064;ROSNY-SOUS-BOIS;93
93070;SAINT-OUEN-SUR-SEINE;93
94047;MANDRES-LES-ROSES;94
94059;LE PLESSIS-TREVISE;94
94065;RUNGIS;94
94081;VITRY-SUR-SEINE;94
95056;BELLOY-EN-FRANCE;95
95256;FREPILLON;95
95424;MONTIGNY LES CORMEILLES;95
95452;NOINTEL;95
972229;SCHOELCHER;972
01244;MEXIMIEUX;01
02722;SOISSONS;02
06057;L'ESCARENE;06
06084;MOUANS-SARTOUX;06
06108;LA ROQUETTE SUR SIAGNE;06
06120;SAINT-ETIENNE-DE-TINEE;06
07100;GRAVIERES;07
07259;SAINT-JUST-D'ARDECHE;07
10333;SAINT ANDRE LES VERGERS;10
13203;MARSEILLE 3EME;13
17415;SAINTES;17
17421;SAUJON;17
22136;LOUDEAC;22
25084;BOUSSIERES;25
26064;CHABEUIL;26
30062;CALVISSON;30
31116;CASTELGINEST;31
33119;CENON;33
33318;PESSAC;33
33376;SAINT AUBIN DE MEDOC;33
33529;LA TESTE-DE-BUCH;33
34032;BEZIERS;34
34039;BOUZIGUES;34
34152;MAS-DE-LONDRES;34
34307;SUSSARGUES;34
34324;VALRAS-PLAGE;34
34327;VENDARGUES;34
35288;SAINT-MALO;35
37109;FONDETTES;37
38179;GIERES;38
38225;AUTRANS-MEAUDRE EN VERCORS;38
38563;VOIRON;38
39097;CHAMPAGNOLE;39
39198;DOLE;39
40065;CAPBRETON;40
40279;ST-PAUL-LES-DAX;40
41269;VENDOME;41
42052;CHARLIEU;42
42095;FIRMINY;42
42184;RIORGES;42
42225;GENILAC;42
44055;LA BAULE-ESCOUBLAC;44
44135;LE POULIGUEN;44
45028;BEAUGENCY;45
45146;LA FERTE SAINT-AUBIN;45
45155;GIEN;45
50129;CHERBOURG-EN-COTENTIN;50
50218;GRANVILLE;50
50502;SAINT-LO;50
54099;VAL DE BRIEY;54
54323;LONGWY;54
56078;GUIDEL;56
56114;LOCMARIA;56
56169;PLOUHINEC;56
60088;BORNEL;60
60234;FITZ JAMES;60
60463;NOGENT SUR OISE;60
60601;ST VAAST LES MELLO;60
63380;SAINT-NECTAIRE;63
64024;ANGLET;64
66020;BOLQUERE;66
69034;CALUIRE ET CUIRE;69
69069;CRAPONNE;69
69072;DARDILLY;69
69142;LA MULATIERE;69
69283;MIONS;69
70310;LURE;70
71310;MONTCHANIN;71
72260;RUAUDIN;72
73011;ALBERTVILLE;73
74215;PRAZ SUR ARLY;74
74224;LA ROCHE SUR FORON;74
74266;SERVOZ;74
74276;TANINGES;74
75108;PARIS 08;75
76711;LE TREPORT;76
77083;CHAMPS-SUR-MARNE;77
77201;GASTINS;77
77249;LESIGNY;77
77316;MORET-LOING-ET-ORVANNE;77
77325;MOUY-SUR-SEINE;77
77430;SAINT-PATHUS;77
78073;BOIS D ARCY;78
78208;ELANCOURT;78
78322;JOUY EN JOSAS;78
78418;MONTESSON;78
78440;MUREAUX (LES);78
78624;TRIEL SUR SEINE;78
79202;PARTHENAY;79
80333;FORT-MAHON-PLAGE;80
82033;CASTELSARRASIN;82
85084;ESSARTS EN BOCAGE;85
85226;SAINT-HILAIRE-DE-RIEZ;85
85234;SAINT-JEAN-DE-MONTS;85
89287;PARON;89
90075;OFFEMONT;90
91064;BIEVRES;91
91097;BOUSSY-SAINT-ANTOINE;91
91103;BRETIGNY SUR ORGE;91
91161;CHILLY MAZARIN;91
91191;CROSNE;91
91226;ETRECHY;91
91339;LINAS;91
91345;LONGJUMEAU;91
91432;MORANGIS;91
91471;ORSAY;91
92076;VAUCRESSON;92
92077;VILLE-D'AVRAY;92
93014;CLICHY SOUS BOIS;93
93029;DRANCY;93
93039;L'ILE-SAINT-DENIS;93
93053;NOISY-LE-SEC;93
93055;PANTIN;93
93062;LE RAINCY;93
94001;ABLON-SUR-SEINE;94
94019;CHENNEVIERES SUR MARNE;94
94054;ORLY;94
94056;PERIGNY;94
94073;THIAIS;94
95488;PIERRELAYE;95
95555;ST GRATIEN;95
972205;CASE PILOTE;972
972209;FORT DE FRANCE;972
972231;TROIS ILETS;972
04126;MONTCLAR;04
22050;DINAN;22
22093;LAMBALLE-ARMOR;22
23176;LA SOUTERRAINE;23
25293;GRANGES NARBOZ;25
31582;VILLEFRANCHE-DE-LAURAGAIS;31
34172;MONTPELLIER;34
39478;SAINT-CLAUDE;39
45068;CHALETTE-SUR-LOING;45
45169;INGRE;45
60482;ORRY LA VILLE;60
62004;ACHICOURT;62
62826;LE TOUQUET PARIS PLAGE;62
69387;LYON 7EME;69
71263;LOUHANS;71
77305;MONTEREAU FAULT YONNE;77
78118;BUCHELAY;78
83100;PUGET-VILLE;83
85011;BARBATRE;85
89380;SAVIGNY SUR CLAIRIS;89
91099;BOUTIGNY-SUR-ESSONNE;91
93078;VILLEPINTE;93
95229;EZANVILLE;95
2A008;ALBITRECCIA;2A
01030;BEAUREGARD;01
01034;BELLEY;01
06153;VALDEBLORE;06
07324;TOURNON-SUR-RHONE;07
11145;FLEURY D AUDE;11
13070;LA PENNE SUR HUVEAUNE;13
13216;MARSEILLE 16EME;13
16291;RUELLE-SUR-TOUVRE;16
26213;MORAS-EN-VALLOIRE;26
28168;GALLARDON;28
2A130;GROSSETO-PRUGNA;2A
33192;GRADIGNAN;33
34075;CESSERAS;34
35024;BETTON;35
35206;NOYAL-CHATILLON-SUR-SEICHE;35
40004;ANGRESSE;40
42271;SAINT-PAUL-EN-JAREZ;42
44009;BASSE-GOULAINE;44
44188;ST-PHILBERT-DE-GRAND-LIEU;44
44215;VERTOU;44
45006;ARDON;45
49328;SAUMUR;49
59017;ARMENTIERES;59
59421;MOUVAUX;59
60197;DIEUDONNE;60
62261;CUCQ;62
69063;COLLONGES-AU-MONT- D OR;69
69282;MEYZIEU;69
71106;CHAROLLES;71
73249;SAINT-JEOIRE-PRIEURE;73
74012;ANNEMASSE;74
76164;RIVES-EN-SEINE;76
76212;DARNETAL;76
77067;CESSON;77
77082;CHAMPEAUX;77
77183;LA FERTE SOUS JOUARRE;77
78498;POISSY;78
78517;RAMBOUILLET;78
83071;LA LONDE LES MAURES;83
83090;OLLIOULES;83
83098;LE PRADET;83
85018;BEAUVOIR-SUR-MER;85
89464;VILLENEUVE SUR YONNE;89
91659;VILLABE;91
92033;GARCHES;92
92071;SCEAUX;92
93027;LA COURNEUVE;93
93050;NEUILLY-SUR-MARNE;93
93061;LE PRE-SAINT-GERVAIS;93
94067;SAINT-MANDE;94
95051;BEAUCHAMP;95
95052;BEAUMONT-SUR-OISE;95
95210;ENGHIEN LES BAINS;95
95268;GARGES-LES-GONESSE;95
95280;GOUSSAINVILLE;95
95313;L'ISLE-ADAM;95
971127;SAINT MARTIN;971
01443;VILLARS-LES-DOMBES;01
06011;BEAULIEU SUR MER;06
06073;ISOLA;06
06085;MOUGINS;06
06127;SAINT-MARTIN-VESUBIE;06
07331;VALS-LES-BAINS;07
11069;CARCASSONNE;11
13085;ROQUEFORT LA BEDOULE;13
16015;ANGOULEME;16
22209;BEAUSSAIS-SUR-MER;22
22215;PLOUFRAGAN;22
26057;BOURG-DE-PEAGE;26
28110;LE COUDRAY;28
2A247;PORTO-VECCHIO;2A
30128;GENERAC;30
